duration_s,forward_progress_m,blocked_time_s,pinned_time_s,collisions,success,start_to_goal_m
0.040,0.000,0.000,0.000,0,false,11.645
0.060,0.000,0.000,0.000,0,false,11.644
0.060,0.001,0.000,0.000,0,false,11.645
0.060,0.002,0.000,0.000,0,false,11.646
0.060,0.003,0.000,0.000,0,false,11.646
0.040,0.000,0.000,0.000,0,false,11.644
0.060,0.002,0.000,0.000,0,false,11.646
0.060,0.000,0.000,0.000,0,false,11.645
0.060,0.002,0.000,0.000,0,false,11.646
0.060,0.000,0.000,0.000,0,false,11.646
0.040,0.005,0.000,0.000,0,false,11.647
0.060,0.000,0.000,0.000,0,false,11.642
0.060,0.001,0.000,0.000,0,false,11.644
0.060,0.002,0.000,0.000,0,false,11.646
0.060,0.002,0.000,0.000,0,false,11.646
0.060,0.000,0.000,0.000,0,false,11.645
0.040,0.000,0.000,0.000,0,false,11.645
0.060,0.001,0.000,0.000,0,false,11.645
0.060,0.000,0.000,0.000,0,false,11.644
0.060,0.000,0.000,0.000,0,false,11.645
0.060,0.002,0.000,0.000,0,false,11.647
0.040,0.003,0.000,0.000,0,false,11.647
0.060,0.002,0.000,0.000,0,false,11.646
0.060,0.003,0.000,0.000,0,false,11.646
0.060,0.001,0.000,0.000,0,false,11.645
0.060,0.000,0.000,0.000,0,false,11.648
0.040,0.000,0.000,0.000,0,false,11.649
0.060,0.000,0.000,0.000,0,false,11.648
0.060,0.000,0.000,0.000,0,false,11.649
0.060,0.001,0.000,0.000,0,false,11.650
0.060,0.002,0.000,0.000,0,false,11.651
0.040,0.002,0.000,0.000,0,false,11.651
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.001,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.650
0.060,0.000,0.000,0.000,0,false,11.649
0.060,0.001,0.000,0.000,0,false,11.651
0.040,0.002,0.000,0.000,0,false,11.652
0.060,0.001,0.000,0.000,0,false,11.651
0.060,0.004,0.000,0.000,0,false,11.652
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.650
0.060,0.000,0.000,0.000,0,false,11.649
0.040,0.000,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.649
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.001,0.000,0.000,0,false,11.650
0.040,0.000,0.000,0.000,0,false,11.649
0.060,0.001,0.000,0.000,0,false,11.650
0.060,0.000,0.000,0.000,0,false,11.649
0.060,0.000,0.000,0.000,0,false,11.650
0.060,0.002,0.000,0.000,0,false,11.651
0.040,0.002,0.000,0.000,0,false,11.652
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.002,0.000,0.000,0,false,11.652
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.650
0.040,0.000,0.000,0.000,0,false,11.650
0.060,0.000,0.000,0.000,0,false,11.650
0.060,0.000,0.000,0.000,0,false,11.650
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.001,0.000,0.000,0,false,11.651
0.040,0.000,0.000,0.000,0,false,11.649
0.060,0.001,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.649
0.060,0.000,0.000,0.000,0,false,11.650
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.002,0.000,0.000,0,false,11.652
0.040,0.001,0.000,0.000,0,false,11.649
0.060,0.000,0.000,0.000,0,false,11.648
0.060,0.001,0.000,0.000,0,false,11.648
0.060,0.002,0.000,0.000,0,false,11.652
0.040,0.000,0.000,0.000,0,false,11.650
0.060,0.000,0.000,0.000,0,false,11.649
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.002,0.000,0.000,0,false,11.651
0.060,0.003,0.000,0.000,0,false,11.651
0.060,0.000,0.000,0.000,0,false,11.647
0.040,0.000,0.000,0.000,0,false,11.647
0.060,0.000,0.000,0.000,0,false,11.646
0.060,0.000,0.000,0.000,0,false,11.647
0.060,0.002,0.000,0.000,0,false,11.648
0.060,0.004,0.000,0.000,0,false,11.649
0.040,0.001,0.000,0.000,0,false,11.645
0.060,0.003,0.000,0.000,0,false,11.647
0.060,0.000,0.000,0.000,0,false,11.645
0.060,0.000,0.000,0.000,0,false,11.645
0.060,0.000,0.000,0.000,0,false,11.645
0.040,0.001,0.000,0.000,0,false,11.648
0.060,0.001,0.000,0.000,0,false,11.647
0.060,0.002,0.000,0.000,0,false,11.648
0.060,0.003,0.000,0.000,0,false,11.648
0.060,0.001,0.000,0.000,0,false,11.645
0.040,0.000,0.000,0.000,0,false,11.644
0.060,0.000,0.000,0.000,0,false,11.645
